Категория,Услуга,Ссылка,Результат оказания услуги
Семья,Подача заявки на выдачу справки о брачной правоспособности,https://egov.kz/cms/ru/online-services/for_citizen/pass108-3_mw,"Результат оказания услуги
Повторное свидетельство или справки о государственной регистрации актов гражданского состояния либо мотивированный ответ об отказе в оказании государственной услуги.
Форма предоставления результата оказания государственной услуги: бумажная, электронная, цифровой документ, сформированный в сервисе цифровых документов."
Семья,Подача заявки на повторное свидетельство о заключении брака,https://egov.kz/cms/ru/online-services/for_citizen/e_021,"Результат оказания услуги
Повторное свидетельство или справки о государственной регистрации актов гражданского состояния либо мотивированный ответ об отказе в оказании государственной услуги.
Форма предоставления результата оказания государственной услуги: бумажная, электронная, цифровой документ, сформированный в сервисе цифровых документов."
Семья,Подача заявки на повторное свидетельство о расторжении брака,https://egov.kz/cms/ru/online-services/for_citizen/e_023,"Результат оказания услуги
Повторное свидетельство или справки о государственной регистрации актов гражданского состояния либо мотивированный ответ об отказе в оказании государственной услуги.
Форма предоставления результата оказания государственной услуги: бумажная, электронная, цифровой документ, сформированный в сервисе цифровых документов."
Семья,Подача заявки на повторное свидетельство о рождении,https://egov.kz/cms/ru/online-services/for_citizen/e_024,"Результат оказания услуги
Повторное свидетельство или справки о государственной регистрации актов гражданского состояния либо мотивированный ответ об отказе в оказании государственной услуги.
Форма предоставления результата оказания государственной услуги: бумажная, электронная, цифровой документ, сформированный в сервисе цифровых документов."
Семья,Получение свидетельства о рождении ребенка,https://egov.kz/cms/ru/online-services/for_citizen/pass014_mu,"Результат оказания услуги
Свидетельство о рождении, повторное свидетельство о рождении с внесенными изменениями, дополнениями и исправлениями либо мотивированный ответ об отказе в оказании государственной услуги."
Семья,Получение справки о заключении брака,https://egov.kz/cms/ru/online-services/for_citizen/e_019,"Результат оказания услуги
Повторное свидетельство или справки о государственной регистрации актов гражданского состояния либо мотивированный ответ об отказе в оказании государственной услуги.
Форма предоставления результата оказания государственной услуги: бумажная, электронная когда направляется справка о государственной регистрации акта гражданского состояния или мотивированный отказ при подаче заявления через портал."
Семья,Получение справки о расторжении брака,https://egov.kz/cms/ru/online-services/for_citizen/e_018,"Результат оказания услуги
Повторное свидетельство или справки о государственной регистрации актов гражданского состояния либо мотивированный ответ об отказе в оказании государственной услуги.
Форма предоставления результата оказания государственной услуги: бумажная, электронная когда направляется справка о государственной регистрации акта гражданского состояния или мотивированный отказ при подаче заявления через портал."
Семья,Получение справки о рождении,https://egov.kz/cms/ru/online-services/for_citizen/e_020,"Результат оказания услуги
Повторное свидетельство или справки о государственной регистрации актов гражданского состояния либо мотивированный ответ об отказе в оказании государственной услуги.
Форма предоставления результата оказания государственной услуги: бумажная, электронная когда направляется справка о государственной регистрации акта гражданского состояния или мотивированный отказ при подаче заявления через портал."
Семья,Пособие лицам воспитывающим ребенка с инвалидностью,https://egov.kz/cms/ru/online-services/for_citizen/pass158_mtszn,"Результат оказания услуги
Уведомление о назначении пособия.
На портале уведомление о назначении пособий, а также информация о назначении пособий направляется в ""личный кабинет"" услугополучателя в форме электронного документа, удостоверенного ЭЦП уполномоченного лица услугодателя.
Государственная корпорация информирует услугополучателя о принятом решении посредством передачи sms-оповещения на мобильный телефон услугополучателя.
При оказании услуги через проактивную услугу результат оказания услуги предоставляется посредством sms-оповещения на мобильный телефон услугополучателя."
Семья,Пособия на рождение ребенка,https://egov.kz/cms/ru/online-services/for_citizen/pass156_mtszn,"Результат оказания услуги
Уведомление о назначении (отказе в назначении) социальной выплаты по случаю потери дохода в связи с уходом за ребенком по достижении им возраста полутора лет.
На портале: электронное уведомление о назначении (отказе в назначении) социальной выплаты по случаю потери дохода в связи с уходом за ребенком по достижении им возраста полутора лет, удостоверенное ЭЦП руководителя филиала Фонда, направленное в ""личный кабинет"" заявителя на портал.
При оказании через проактивную услугу: Sms-оповещение на мобильный телефон заявителя."
Семья,Постановка на очередь детей дошкольного возраста (до 6 лет) для направления в дошкольные организации,https://egov.kz/cms/ru/online-services/for_citizen/037pass_mon,"Результат оказания услуги
Уведомление о постановке в очередь (в произвольной форме) либо мотивированный ответ об отказе в оказании государственной услуги."
Семья,"Постановка на учет лиц, желающих усыновить детей",https://egov.kz/cms/ru/online-services/for_citizen/pass79_mon,"Результат оказания услуги
Уведомление о готовности заключения возможности (невозможности) быть кандидатом(ами) в усыновители по
форме
согласно приложению к настоящему стандарту государственной услуги либо мотивированный ответ об отказе в оказании государственной услуги."
Семья,Прием документов для предоставления психолого-педагогической поддержки детям в организациях образования,https://egov.kz/cms/ru/online-services/for_citizen/pass59-60_mon,"Результат оказания услуги
1) Выдача справки по форме.
2)  Заключение  либо мотивированный ответ об отказе в оказании государственной услуги."
Семья,Прикрепление к поликлинике,https://egov.kz/cms/ru/online-services/for_citizen/494pass_mz,"Результат оказания услуги
1.  Уведомление о прикреплении в форме электронного документа, подписанной электронной цифровой подписью.
2. Мотивированный отказ."
Семья,Расторжение брака,https://egov.kz/cms/ru/online-services/for_citizen/pass017_mu,"Результат оказания услуги
Свидетельство о государственной регистрации расторжения брака (супружества), повторное свидетельство о государственной регистрации расторжения брака (супружества) или мотивированный ответ об отказе в оказании государственной услуги.
Форма предоставления результата оказания государственной услуги: бумажная, электронная, цифровой документ, сформированный в сервисе цифровых документов."
Семья,Регистрация смерти,https://egov.kz/cms/ru/online-services/for_citizen/pass015_mu,"Результат оказания услуги
1) Свидетельство или справка о смерти, повторное свидетельство о смерти с внесенными изменениями, дополнениями и исправлениями либо мотивированный ответ об отказе в оказании государственной услуги."
Семья,Уведомление о государственной регистрации смерти,https://egov.kz/cms/ru/online-services/for_citizen/death_registration,"Результат оказания услуги
Уведомление о государственной регистрации смерти или мотивированный ответ об отказе."
Семья,"Установление опеки или попечительства над ребенком-сиротой (детьми-сиротами) и ребенком (детьми), оставшимся без попечения родителей и назначение выплаты пособия опекунам или попечителям на содержание ребенка-сироты (детей-сирот) и ребенка (детей), оставшегося без попечения родителей",https://egov.kz/cms/ru/online-services/for_citizen/181pass_mon,"Результат оказания услуги
1) Приказ об установлении опеки или попечительства отдела (управления) образования районов и городов областного значения, городов республиканского значения и столицы либо мотивированный ответ об отказе в оказании государственной услуги.
2) Решение о назначении пособия опекунам или попечителям на содержание ребенка-сироты (детей–сирот) и ребенка (детей), оставшегося без попечения родителей, либо мотивированный ответ об отказе в оказании государственной услуги."
Здравоохранение,Выдача больничного листа,https://egov.kz/cms/ru/online-services/for_citizen/2F129_mzsr,"Результат оказания услуги
Лист о временной нетрудоспособности либо мотивированный ответ об отказе в оказании государственной услуги."
Здравоохранение,Выдача больничной справки,https://egov.kz/cms/ru/online-services/for_citizen/pass_130mz,"Результат оказания услуги
Справка о временной нетрудоспособности либо мотивированный ответ об отказе в оказании государственной услуги."
Здравоохранение,Выдача выписки из медицинской карты стационарного больного,https://egov.kz/cms/ru/online-services/for_citizen/2F131_mzsr,"Результат оказания услуги
При непосредственном обращении к услугодателю – выписка из медицинской карты стационарного больного в бумажном виде, либо мотивированный отказ в оказании государственной услуги.
На портал – выписка из медицинской карты стационарного больного в форме электронного документа подписанного ЭЦП услугодателя, либо мотивированный отказ в оказании государственной услуги."
Здравоохранение,Выдача медицинской справки по форме № 075/у,https://egov.kz/cms/ru/online-services/for_citizen/pass_163_1mz,"Результат оказания услуги
Медицинская справка (врачебное профессионально-консультативное заключение), выданная по форме № 075/у либо мотивированный ответ об отказе в оказании государственной услуги."
Здравоохранение,Выдача направления пациентам на госпитализацию в стационар,https://egov.kz/cms/ru/online-services/for_citizen/pass132-4_mz,"Результат оказания услуги
Направление на госпитализацию в стационар, выданное по форме 001-3/у, утвержденной приказом № ҚР ДСМ-175/2020, либо мотивированный ответ об отказе в оказании государственной услуги.
Через портал - результат оказания государственной услуги направляется в личный кабинет услугополучателя на портале в форме электронного документа подписанного ЭЦП услугодателя."
Здравоохранение,Выдача санаторно-курортной карты,https://egov.kz/cms/ru/online-services/for_citizen/pass_186-1_mz,"Результат оказания услуги
При непосредственном обращении к услугодателю- санаторно–курортная карта, выданная по форме 069/у, утвержденной приказом исполняющего обязанности Министра здравоохранения Республики Казахстан от 30 октября 2020 года № ҚР ДСМ-175/2020 ""Об утверждении форм учетной документации в области здравоохранения"", либо мотивированный ответ об отказе в оказании государственной услуги.
На портал - санаторно–курортная карта, выданное по форме 069/у электронного документа подписанного ЭЦП услугодателя, либо мотивированный отказ в оказании государственной услуги."
Здравоохранение,Вызов врача на дом,https://egov.kz/cms/ru/online-services/for_citizen/496pass_mz,"Результат оказания услуги
При непосредственном обращении или по телефонной связи – запись в журнале регистрации вызовов организации ПМСП и устный ответ с указанием даты, времени посещения врача
В электронном формате при обращении на портал – уведомление в виде статуса электронной заявки в личном кабинете.
При этом после принятия запроса на оказание государственной услуги пациенту в установленное время на дому оказывается медицинская помощь."
Здравоохранение,Запись на вакцинацию,https://egov.kz/cms/ru/online-services/for_citizen/Zapis-na-vakcinaciyu,"Результат оказания услуги
Уведомление о записи на вакцинацию."
Здравоохранение,Запись на прием к врачу,https://egov.kz/cms/ru/online-services/for_citizen/495pass_mz,"Результат оказания услуги
1. При непосредственном обращении или по телефонной связи к организации ПМСП – запись в журнале предварительной записи на прием к врачу организации ПМСП и устный ответ с указанием даты, времени приема врача в соответствии с графиком приема врачей.
2. На портале – уведомление в виде статуса электронной заявки в личном кабинете."
Здравоохранение,Информации об ОСМС,https://egov.kz/cms/ru/online-services/for_citizen/pass171-2_mz,"Результат оказания услуги
Информация об участии в качестве потребителя медицинских услуг и о перечисленных суммах отчислений и (или) взносов в системе обязательного социального медицинского страхования."
Здравоохранение,"Информация о предоставленных лекарственных средствах, спецпродуктах, изделиях медицинского назначения",https://egov.kz/cms/ru/online-services/for_citizen/pass710_mz,"Результат оказания услуги
При непосредственном обращении к услугодателю – предоставление лекарственных средств, специализированных лечебных продуктов, изделий медицинского назначения отдельным категориям граждан.
При обращении на портал – предоставление лекарственных средств, специализированных лечебных продуктов, изделий медицинского назначения отдельным категориям граждан в режиме просмотра информации в Личном кабинете Электронного Правительства.
Мотивированный отказ в оказании услуги."
Здравоохранение,Корректировка сведений по вакцинации,https://egov.kz/cms/ru/online-services/for_citizen/correction_vaccination_inf,"Результат оказания услуги
Уведомление об актуализации сведений либо мотивированный ответ об отказе."
Здравоохранение,"Получение заключения о безопасности, качестве и эффективности лекарственных средств и медицинских изделий",https://egov.kz/cms/ru/online-services/for_citizen/153-3pass_mz,"Результат оказания услуги
Для лекарственных средств: выдача заключения о безопасности, качестве и эффективности лекарственных средств либо мотивированный ответ об отказе в оказании государственной услуги.
Для медицинских изделий: выдача заключения о безопасности, качестве и эффективности медицинских изделий либо мотивированный ответ об отказе в оказании государственной услуги.
Условие хранения услугодателем невостребованных в срок документов: при не обращении услугополучателя за результатом государственной услуги в указанный срок, услугодатель обеспечивает хранение заключения о безопасности, качестве и эффективности лекарственных средств и медицинских изделий в течение 180 календарных дней."
Здравоохранение,Регистрация прижизненного отказа или согласия на посмертное донорство органов (части органа) и (или) тканей (части ткани) в целях трансплантации,https://egov.kz/cms/ru/online-services/for_citizen/mzsr_132_1,"Результат оказания услуги
Справка о регистрации прижизненного отказа на посмертное донорство органов (части органа) и (или) тканей (части ткани).
Справка о регистрации прижизненного согласия на посмертное донорство органов (части органа) и (или) тканей (части ткани)."
Здравоохранение,Регистрация цены на лекарственные средства и медицинские изделия,https://egov.kz/cms/ru/online-services/for_citizen/pass601013_mz,"Результат оказания услуги
1. Сведения о зарегистрированной цене на лекарственные средства в рамках ГОБМП и (или) в системе ОСМС.
2. Све­де­ния о за­ре­ги­стри­ро­ван­ной цене на ме­ди­цин­ские из­де­лия в рам­ках га­ран­ти­ро­ван­но­го объ­е­ма бес­плат­ной ме­ди­цин­ской по­мо­щи и (или) в си­сте­ме обя­за­тель­но­го со­ци­аль­но­го ме­ди­цин­ско­го стра­хо­ва­ния.
3. Мотивированный ответ об отказе в оказании государственной услуги."
Здравоохранение,Справка об отсутствии динамического наблюдения больных с психическими поведенческими расстройствами,https://egov.kz/cms/ru/online-services/for_citizen/2F161_mzsr,"Результат оказания услуги
Сведения о состоянии на динамическом наблюдении (либо отсутствии динамического наблюдения) в форме электронного документа."
Здравоохранение,Справка об отсутствии динамического наблюдения наркологических больных,https://egov.kz/cms/ru/online-services/for_citizen/2Fpassport,"Результат оказания услуги
Сведения о состоянии на динамическом наблюдении (либо отсутствии динамического наблюдения) в форме электронного документа."
Здравоохранение,Справка о несостоянии на динамическом наблюдении больных туберкулезом,https://egov.kz/cms/ru/online-services/for_citizen/2F00604003_mzsr,"Результат оказания услуги
Сведения о состоянии или несостоянии на диспансерном учете больных туберкулезом."
Здравоохранение,Справка по динамическому наблюдению,https://egov.kz/cms/ru/online-services/for_citizen/2F128_mzsr,"Результат оказания услуги
1. Справка с медицинской организации, оказывающей первичную медико-санитарную помощь, выданная по форме № 027/у, утвержденной
приказом
исполняющего обязанности Министра здравоохранения Республики Казахстан от 30 октября 2020 года № ҚР ДСМ-175/2020 ""Об утверждении форм учетной документации в области здравоохранения"" (зарегистрирован в Реестре государственной регистрации нормативных правовых актов под № 21579) при непосредственном обращении к организациям ПМСП подписанными участковым врачом или врачом общей практики, заверенными личной врачебной печатью и печатью организации ПМСП
2. На портал - в форме электронного документа, подписанного электронной цифровой подписью организации ПМСП.
3. Мотивированный отказ."
Образование,Авансирование стипендиатов международной стипендии «Болашак»,https://egov.kz/cms/ru/online-services/for_citizen/pass200_mon,"Результат оказания услуги
Письмо о перечислении авансовой суммы в тенге на банковский счет услугополучателя либо мотивированный ответ об отказе в оказании государственной услуги."
Образование,Актуализация (корректировка) сведений о документах об образовании,https://egov.kz/cms/ru/online-services/for_citizen/passP50_07_mp_mnvo,"Результат оказания услуги
Актуализированные сведения о документах об образовании либо уведемление об отказе.
Оцифрованный документ об образовании в разделе «Цифровые документы» и в разделе «Общая информация» на сервисе «Bilim» мобильного приложения mGov.
Мотивированный ответ об отказе в оказании государственной услуги в случаях и по основаниям."
Образование,"Апостилирование официальных документов, исходящих из организаций образования",https://egov.kz/cms/ru/online-services/for_citizen/209pass_mon,"Результат оказания услуги
Выдача готовых документов со штампом ""апостиль"" на бумажном носителе либо мотивированный ответ об отказе."
Образование,"Выдача договора залога недвижимого имущества, предоставленного в качестве обеспечения исполнения обязательств стипендиатов международной стипендии «Болашак», и уведомление о его прекращении",https://egov.kz/cms/ru/online-services/for_citizen/pass201-202_mon,"Результат оказания услуги
1) Договор залога недвижимого имущества, либо мотивированный ответ об отказе в оказании государственной услуги.
2) Письмо и доверенность для снятия обременения с недвижимого имущества, при исполнении обязательств стипендиатом международной стипендии ""Болашак"", либо мотивированный ответ об отказе в оказании государственной услуги."
Образование,Выдача дубликатов документов об образовании,https://egov.kz/cms/ru/online-services/for_citizen/pass-mon212-214,"Результат оказания услуги
1) Дубликат документов об основном среднем, общем среднем образовании либо мотивированный ответ об отказе.
2) Дубликат документа о высшем и (или) послевузовском образовании либо мотивированный ответ об отказе.
3) Дубликат документов о техническом и профессиональном, послесреднем образовании или мотивированный ответ об отказе."
